"NUTS","Name","Year","GDP_EUR","GDP_EUR_to_keep","GDP_capita","GDP_growth","Population_abs","Pop_growth"
"AL00","Albania","2000",3780400000,5222689959.03223,1702.15115368317,NA,3068288,NA
"AL00","Albania","2001",4385800000,5655714088.05309,1848.16386227382,0.0857812822760766,3060180,-0.00264251595678111
"AL00","Albania","2002",4612400000,5912448517.54105,1937.85963957662,0.0485323726611801,3051020,-0.00299328797652426
"AL00","Albania","2003",4928600000,6239201427.79845,2052.62546890679,0.0592229834330238,3039620,-0.00373645534935858
"AL00","Albania","2004",5777800000,6583267650.92371,2174.89201996858,0.0595659329545952,3026940,-0.00417157407833874
"AL00","Albania","2005",6475300000,6947229835.79766,2306.90782164233,0.0606999338181629,3011490,-0.00510416460187516
"AL00","Albania","2006",7090800000,7357297085.87771,2458.53773065704,0.0657286379595177,2992550,-0.00628924552298032
"AL00","Albania","2007",7809800000,7797399585.90532,2625.36938670626,0.0678580824564514,2970020,-0.00752869626238492
"AL00","Albania","2008",8800300000,8383182613.54476,2844.3408294806,0.0834059557040309,2947320,-0.00764304617477323
"AL00","Albania","2009",8662300000,8662300000,2958.91075411695,0.040279956413407,2927530,-0.00671457459658266
"AL00","Albania","2010",8996600000,8983504997.84671,3083.90404418997,0.0422430078024847,2913030,-0.00495298084050377
"AL00","Albania","2011",9268400000,9210491138.37388,3170.3575801837,0.0280337957196189,2905190,-0.00269135573612356
"AL00","Albania","2012",9585900000,9343832343.55503,3221.56679890878,0.016152505649573,2900400,-0.00164877340208386
"AL00","Albania","2013",9625400000,9434512015.37119,3258.89879632856,0.0115881494161251,2895000,-0.00186181216383947
"AL00","Albania","2014",9968600000,9597697163.17539,3322.03702300903,0.0193740986223922,2889100,-0.00203799654576857
"AL00","Albania","2015",10264200000,9818083201.00708,3408.22827819873,0.0259453024131647,2880700,-0.00290747983801184
"AL00","Albania","2016",10719800000,10144931764.9267,3527.32233403801,0.0349430983250417,2876100,-0.00159683410282223
"AL00","Albania","2017",11559100000,10528981218.8739,3664.21708284573,0.0388098211174816,2873460,-0.000917909669343903
"AL00","Albania","2018",1.2828e+10,10950622562.0866,3820.36665134651,0.0426147154959248,2866380,-0.00246392850431188
"AL00","Albania","2019",13754200000,11179521775.8588,3916.88071777241,0.0252630376175772,2854190,-0.004252750856481
"AT11","Burgenland","2000",4797100000,5739277843.524,20788.4592999275,NA,276080,NA
"AT11","Burgenland","2001",4959300000,5866948717.94872,21231.674874059,0.021320270431632,276330,0.000905534627644161
"AT11","Burgenland","2002",5.198e+09,6044293885.60158,21851.3999385471,0.029188703583876,276609,0.00100966236022147
"AT11","Burgenland","2003",5335400000,6058499145.29915,21898.0841488685,0.00213644024880169,276668,0.000213297470436609
"AT11","Burgenland","2004",5636500000,6271313346.48258,22608.2892190871,0.0324322924960235,277390,0.00260962597770613
"AT11","Burgenland","2005",5720600000,6228785798.81657,22358.9756617162,-0.011027528662382,278581,0.00429359385702441
"AT11","Burgenland","2006",5903700000,6278460092.04471,22455.9536894907,0.00433731979683379,279590,0.00362192683635998
"AT11","Burgenland","2007",6.283e+09,6491274293.22814,23140.0654255052,0.0304646039742517,280521,0.00332987588969563
"AT11","Burgenland","2008",6.41e+09,6540948586.45628,23203.9043118106,0.00275880318968402,281890,0.00488020504703748
"AT11","Burgenland","2009",6441600000,6441600000,22744.9595706366,-0.0197787723568715,283210,0.00468267764021427
"AT11","Burgenland","2010",6698400000,6576417619.98685,23144.9905679836,0.0175876767819526,284140,0.00328378235231807
"AT11","Burgenland","2011",7012600000,6775026561.47272,23756.851980394,0.026436019086428,285182,0.00366720630675019
"AT11","Burgenland","2012",7365400000,6895638921.762,24090.6623593805,0.0140511200415785,286237,0.00369939196723496
"AT11","Burgenland","2013",7539300000,6994987508.21828,24368.1089276211,0.0115167679535624,287055,0.00285777170666266
"AT11","Burgenland","2014",7737100000,7023309796.18672,24396.1491569118,0.00115069369453369,287886,0.00289491560850708
"AT11","Burgenland","2015",8040600000,7094336094.67456,24489.9134735593,0.00384340643453199,289684,0.00624552774362074
"AT11","Burgenland","2016",8351800000,7200743195.26627,24704.327254865,0.00875518737692304,291477,0.00618950304469698
"AT11","Burgenland","2017",8717800000,7449026429.98028,25483.3102869566,0.0315322503646896,292310,0.00285785842450691
"AT11","Burgenland","2018",8960800000,7512817751.47929,25636.2039599368,0.00599975714530748,293055,0.00254866408949403
"AT11","Burgenland","2019",9222800000,7576697304.40499,25776.6905190415,0.00548000629594974,293936,0.00300626162324478
"AT12","Niederösterreich","2000",33533800000,38584240269.0153,25099.195501776,NA,1537270,NA
"AT12","Niederösterreich","2001",34117700000,38439415835.5771,24927.8002604211,-0.0068287145435737,1542030,0.00309639816037521
"AT12","Niederösterreich","2002",34826100000,38487630900.6698,24878.5606525253,-0.00197528892968177,1547020,0.00323599411165801
"AT12","Niederösterreich","2003",35717800000,38777369386.6262,24964.812797315,0.00346692664395982,1553281,0.00404713578363563
"AT12","Niederösterreich","2004",3.7926e+10,40515889921.4447,25919.8513752891,0.0382553871213842,1563122,0.00633562117865344
"AT12","Niederösterreich","2005",39188600000,41095366893.3575,26096.8364613002,0.00682816747089281,1574726,0.00742360481139668
"AT12","Niederösterreich","2006",41460400000,42688973375.6578,26941.095072771,0.0323509944480317,1584530,0.00622584500414675
"AT12","Niederösterreich","2007",44580100000,44910361514.0436,28209.3881759229,0.0470765237911128,1592036,0.00473705136538911
"AT12","Niederösterreich","2008",46347700000,46600487745.6093,29139.2917010223,0.0329643280208773,1599232,0.00451999829149592
"AT12","Niederösterreich","2009",45200100000,45200100000,28172.0786647462,-0.0331927435368031,1604429,0.00324968484872739
"AT12","Niederösterreich","2010",46285900000,45441533801.7837,28265.1621875301,0.00330410559659562,1607687,0.00203062896519572
"AT12","Niederösterreich","2011",48511300000,46745401798.1275,28998.999853674,0.0259626200364673,1611966,0.00266158773442841
"AT12","Niederösterreich","2012",49802600000,46745401798.1275,28917.2155074172,-0.00282024713505822,1616525,0.00282822342406726
"AT12","Niederösterreich","2013",50470100000,46938530915.7384,28937.9435635341,0.000716806779395123,1622041,0.00341225777516587
"AT12","Niederösterreich","2014",52049400000,47614617255.9967,29190.6479168179,0.00873262997175324,1631160,0.00562192940868942
"AT12","Niederösterreich","2015",53884400000,48290703596.255,29351.839855349,0.00552204044906623,1645236,0.00862944162436548
"AT12","Niederösterreich","2016",55570800000,48870180568.1678,29444.7634475177,0.00316585238358442,1659724,0.00880603147511968
"AT12","Niederösterreich","2017",58207900000,50608611483.9063,30337.0383883501,0.0303033489273156,1668212,0.0051141033087429
"AT12","Niederösterreich","2018",60471300000,51719260743.5591,30893.6595075576,0.0183479056881577,1674106,0.00353312408734621
"AT12","Niederösterreich","2019",63009700000,53023128739.903,31544.1682961758,0.021056384998972,1680917,0.00406844011072178
"AT13","Wien","2000",57659500000,68775741106.6649,44335.9770935928,NA,1551240,NA
"AT13","Wien","2001",5.9843e+10,69325326750.3138,44367.0733231238,0.000701376885533797,1562540,0.00728449498465744
"AT13","Wien","2002",61964400000,71131043901.91,44963.1595128336,0.013435328162589,1581985,0.0124444814212756
"AT13","Wien","2003",62665600000,70581458258.2611,44068.5716397697,-0.0198960189354252,1601628,0.0124166790456294
"AT13","Wien","2004",64529600000,71209568986.51,43916.132067734,-0.00345914483641123,1621490,0.0124011318483443
"AT13","Wien","2005",67364400000,72544225579.0572,44166.7142031229,0.00570592453366383,1642509,0.0129627688114019
"AT13","Wien","2006",71019200000,74978053458.9023,45253.4290767181,0.024604838580417,1656848,0.00872993694402892
"AT13","Wien","2007",73964900000,76783860559.049,46082.2792951344,0.0183157439187903,1666234,0.0056649734918351
"AT13","Wien","2008",76693900000,77254921118.0981,46103.6792976324,0.000464386806063116,1675678,0.0056678713794101
"AT13","Wien","2009",76312800000,76312800000,45287.7485438247,-0.0176977361945515,1685065,0.00560191158444522
"AT13","Wien","2010",78130100000,77411881338.7474,45632.3629625521,0.00760944029694651,1696425,0.00674157970167323
"AT13","Wien","2011",80747900000,78903678049.045,46143.3113148447,0.0111970610137354,1709970,0.00798443786197445
"AT13","Wien","2012",81981700000,78825152964.445,45585.6745680401,-0.0120848879483257,1729165,0.0112253431346749
"AT13","Wien","2013",83117700000,78432527541.4454,44716.48027786,-0.0190672683560424,1753996,0.0143601102266123
"AT13","Wien","2014",84749800000,78039992066.9963,43792.4538630382,-0.0206641132996185,1782042,0.0159897742070107
"AT13","Wien","2015",87284400000,78511052626.0453,43166.8295738826,-0.0142861208716974,1818782,0.0206167980328185
"AT13","Wien","2016",91942300000,80709395200.6412,43534.8298512982,0.00852507077884383,1853904,0.0193107255295027
"AT13","Wien","2017",92880600000,80944880505.8905,43097.5325066942,-0.0100447698106938,1878179,0.0130939897643028
"AT13","Wien","2018",97152500000,83535758554.9354,44125.644859231,0.0238554806444451,1893134,0.0079624998469262
"AT13","Wien","2019",99781100000,84163869283.1843,44195.7975400332,0.00158983921993552,1904341,0.00591981338880396
"AT21","Kärnten","2000",12378800000,14212161576.2885,25372.9698039536,NA,560130,NA
"AT21","Kärnten","2001",1.2584e+10,14313674433.4234,25571.5487868216,0.00782639889624051,559750,-0.000678413939621159
"AT21","Kärnten","2002",1.2972e+10,14652110886.7742,26198.2139268133,0.024506342780246,559279,-0.000841447074586869
"AT21","Kärnten","2003",13289900000,14872040344.8411,26637.126280343,0.0167535220055785,558320,-0.00171470768614591
"AT21","Kärnten","2004",13873800000,15362700886.7182,27510.5221544656,0.0327886674009272,558430,0.00019701963031953
"AT21","Kärnten","2005",14568200000,15633431970.5285,27962.2815119721,0.0164213298086447,559090,0.00118188492738571
"AT21","Kärnten","2006",15230900000,16022579655.2708,28645.7662318124,0.0244430955874482,559335,0.000438212094653812
"AT21","Kärnten","2007",16364200000,16800875024.7554,30025.422031356,0.048162642548251,559555,0.000393324215362886
"AT21","Kärnten","2008",16762700000,17020804482.8223,30416.6173438404,0.0130288031280916,559589,6.07625702567219e-05
"AT21","Kärnten","2009",16157900000,16157900000,28918.9769656185,-0.0492375717290334,558730,-0.00153505519229291
"AT21","Kärnten","2010",16582100000,16479342315.2018,29566.889351551,0.0224044020195752,557358,-0.00245556887942298
"AT21","Kärnten","2011",17548300000,17105413596.16,30743.0150901509,0.0397784739752553,556400,-0.00171882344920141
"AT21","Kärnten","2012",17771900000,16986906600.8761,30565.7338747208,-0.00576655265953143,555750,-0.00116822429906542
"AT21","Kärnten","2013",17907800000,16885393743.7412,30387.0114414125,-0.00584715008122555,555678,-0.000129554655870445
"AT21","Kärnten","2014",18419800000,16986906600.8761,30510.2307828244,0.00405500032964553,556761,0.0019489704469135
"AT21","Kärnten","2015",18717200000,16919291625.6874,30263.7124785577,-0.00807985708208664,559062,0.0041328325798682
"AT21","Kärnten","2016",19093900000,17003900739.0251,30321.8744231697,0.00192183773399368,560780,0.00307300442526947
"AT21","Kärnten","2017",19910200000,17596074138.0371,31366.2219834241,0.0344420514932417,560988,0.000370911944077892
"AT21","Kärnten","2018",20862500000,18154349655.103,32365.3099463434,0.0318523526182815,560920,-0.000121214714040229
"AT21","Kärnten","2019",21442200000,18323567881.7784,32655.5790278273,0.00896852469403503,561116,0.000349425943093489
"AT22","Steiermark","2000",27128700000,32135448471.0468,27171.7188682034,NA,1182680,NA
"AT22","Steiermark","2001",28084100000,32812346626.3587,27683.2028097653,0.0188241290160127,1185280,0.00219839686136571
"AT22","Steiermark","2002",28541200000,33011445034.2585,27770.6510752841,0.00315889263679864,1188717,0.00289973677105832
"AT22","Steiermark","2003",29339700000,33768037200.0517,28358.7954748016,0.0211786319997724,1190743,0.00170435856473829
"AT22","Steiermark","2004",31033400000,35281221531.6381,29537.0112657344,0.0415467501777261,1194475,0.00313417756812343
"AT22","Steiermark","2005",32520900000,35998012231.6252,30027.9210285675,0.0166201569419633,1198818,0.00363590698842588
"AT22","Steiermark","2006",34120500000,37073198281.6058,30851.4227142465,0.0274245321511111,1201669,0.00237817583653232
"AT22","Steiermark","2007",36539100000,38785481021.0921,32237.1489540549,0.04491612113462,1203130,0.00121580901229873
"AT22","Steiermark","2008",37601400000,38984579428.9919,32372.228114354,0.00419017080237407,1204260,0.000939216875981814
"AT22","Steiermark","2009",36635200000,36635200000,30404.6237017832,-0.0607806297923112,1204922,0.000549715177785528
"AT22","Steiermark","2010",37576200000,37431593631.5994,31042.1814282273,0.020969104327601,1205830,0.000753575750131544
"AT22","Steiermark","2011",39466800000,38785481021.0921,32116.3319861716,0.0346029340891478,1207656,0.00151430964563827
"AT22","Steiermark","2012",4.0956e+10,39701370128.979,32815.5245376262,0.0217706228642679,1209835,0.00180432176050133
"AT22","Steiermark","2013",41303500000,39342974778.9855,32431.498198008,-0.0117025811724538,1213110,0.00270698070398029
"AT22","Steiermark","2014",42710600000,39741171594.7851,32617.2401693889,0.00572720909305182,1218410,0.00436893604042502
"AT22","Steiermark","2015",43721300000,39820865605.2666,32459.3721385848,-0.00484001803905833,1226791,0.0068786369120411
"AT22","Steiermark","2016",45542900000,40856159110.5719,33091.1006948261,0.0194621311079022,1234657,0.00641185010323682
"AT22","Steiermark","2017",47499900000,42130443568.4524,34010.2292525678,0.0277757021810216,1238758,0.00332157028227273
"AT22","Steiermark","2018",48774300000,42608334394.7334,34316.3399155737,0.00900054688642839,1241634,0.00232168026361888
"AT22","Steiermark","2019",50916700000,43683429365.8449,35094.8437332302,0.0226860970479886,1244725,0.0024894614677111
"AT31","Oberösterreich","2000",35248300000,42273499953.8934,30821.0238949922,NA,1371580,NA
"AT31","Oberösterreich","2001",3.6472e+10,42909980437.6177,31196.5949367254,0.0121855472100095,1375470,0.00283614517563686
"AT31","Oberösterreich","2002",37245200000,43281305937.216,31359.4247785713,0.00521947482332974,1380169,0.00341628679651319
"AT31","Oberösterreich","2003",3.8414e+10,44129946582.1818,31862.5012506619,0.0160422735953494,1385012,0.00350899056564812
"AT31","Oberösterreich","2004",39963700000,44925592404.2629,32294.8271480452,0.0135684858505679,1391108,0.00440140590839646
"AT31","Oberösterreich","2005",42531400000,46569788436.4585,33323.4503390739,0.0318510201746332,1397508,0.00460064926662775
"AT31","Oberösterreich","2006",44733800000,4.8055e+10,34276.6209977917,0.0286036004381016,1401976,0.00319711944403896
"AT31","Oberösterreich","2007",47409700000,49805276112.8163,35455.8376784556,0.0344029442324503,1404713,0.00195224454626898
"AT31","Oberösterreich","2008",49712800000,51449562579.8633,36561.8900205184,0.0311952111269648,1407191,0.00176406141325666
"AT31","Oberösterreich","2009",4.8055e+10,4.8055e+10,34107.2495737925,-0.0671365852626429,1408938,0.001241480367626
"AT31","Oberösterreich","2010",49592400000,49434041048.0695,35066.0945381162,0.0281126439776176,1409739,0.000568513305766471
"AT31","Oberösterreich","2011",52574100000,51290487676.3578,36323.5503658579,0.0358595915600138,1412045,0.00163576378322512
"AT31","Oberösterreich","2012",53978700000,51502647837.5993,36367.2264372608,0.00120241746643589,1416183,0.00293050150668003
"AT31","Oberösterreich","2013",55424900000,52086043063.5876,36630.2678478611,0.00723292470637274,1421940,0.00406515259680423
"AT31","Oberösterreich","2014",57136800000,52616443466.6912,36760.3460727217,0.00355111312319214,1431337,0.00660857701450132
"AT31","Oberösterreich","2015",58650800000,53040763789.1742,36691.1504551907,-0.00188234401803728,1445601,0.00996550777350128
"AT31","Oberösterreich","2016",60754100000,53995484514.7607,36995.9290898382,0.00830659793618965,1459498,0.00961330270247461
"AT31","Oberösterreich","2017",63010300000,55480696078.3022,37759.6426615329,0.0206431786005462,1469312,0.00672422983793058
"AT31","Oberösterreich","2018",66135200000,57177977368.2339,38690.3138629185,0.0246472459956217,1477837,0.00580203523826117
"AT31","Oberösterreich","2019",67961300000,57708377771.3375,38831.0507565488,0.00363752266598259,1486140,0.00561834627228849
"AT32","Salzburg","2000",15240700000,17779031762.8298,34599.6531338519,NA,513850,NA
"AT32","Salzburg","2001",15682500000,17915597260.0754,34723.5144104572,0.00357984157026372,515950,0.00408679575751679
"AT32","Salzburg","2002",16163100000,18257099913.0183,35308.8953735645,0.0168583443538496,517068,0.00216687663533288
"AT32","Salzburg","2003",16542100000,18575752739.9246,35833.6167239749,0.0148608826432787,518389,0.00255478969884038
"AT32","Salzburg","2004",17460200000,19418084459.2636,37268.5779910668,0.040045114009714,521031,0.00509655876185644
"AT32","Salzburg","2005",18295700000,19827780951.0003,37864.9293910957,0.0160014530248984,523645,0.00501697595728469
"AT32","Salzburg","2006",1.9452e+10,20692873586.5468,39378.6189644744,0.0399760305306334,525485,0.00351383093508006
"AT32","Salzburg","2007",20895900000,21717292635.5465,41287.8640668037,0.0484843083006982,525997,0.000974337992521195
"AT32","Salzburg","2008",21340200000,21694531719.3389,41219.2805124999,-0.00166110686163928,526320,0.000614071943376103
"AT32","Salzburg","2009",20852200000,20852200000,39589.1516284898,-0.0395477277560863,526715,0.000750493996048032
"AT32","Salzburg","2010",21867300000,21649009886.9237,41055.7205407916,0.0370447168472897,527308,0.00112584604577428
"AT32","Salzburg","2011",22947400000,22263643534.3578,42102.51880566,0.0254970135971263,528796,0.00282188019146305
"AT32","Salzburg","2012",23886500000,22559535445.0565,42500.8486122067,0.00946094955471312,530802,0.00379352340032829
"AT32","Salzburg","2013",23965800000,22286404450.5654,41806.4744844919,-0.0163378885454852,533085,0.00430103880543027
"AT32","Salzburg","2014",24504800000,22331926282.9806,41631.1871097633,-0.00419282842885053,536423,0.00626166558803943
