"NUTS","Name","Country","Year","GDP_growth","Employment_abs","Labor_Productivity_abs","Wage_EUR","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","inv_rate","GVA_primary","GVA_services","GVA_public","GFCF_share","GDP_EUR","GDP_capita","Population_abs","Pop_growth","emp_rate","unemp_rate","Migration_rate"
"AL00","Albania","Albania",2009,0.040279956413407,1053600,24317.26,273.1712858,0.551,0.30734,77.781,1.647,0.592805519053876,0.309351730179588,0.0977879982479194,0.377678452301534,0.476277518345564,0.384122748498999,0.139613075383589,0.326783879570091,8662300000,2958.91075411695,2927530,-0.00671457459658266,0.47473,0.13674,-0.0118683668485037
"AL00","Albania","Albania",2010,0.0422430078024847,1060300,25084.62,252.3187459,0.552,0.2972,77.936,1.656,0.578740369592156,0.320456871935779,0.0997252303216422,0.32680281852245,0.493509981201325,0.361893678785631,0.144660281084952,0.284465807122336,8983504997.84671,3083.90404418997,2913030,-0.00495298084050377,0.47426,0.14086,-0.00942832720569304
"AL00","Albania","Albania",2011,0.0280337957196189,1188300,23038.01,259.972921,0.603,0.30011,78.092,1.671,0.561843027330063,0.336370007007708,0.101786965662228,0.337435642950189,0.491135785621239,0.362855902239315,0.146020718317722,0.295304556416977,9210491138.37388,3170.3575801837,2905190,-0.00269135573612356,0.51857,0.13481,-0.00684774489792406
"AL00","Albania","Albania",2012,0.016152505649573,1148100,24658.37,269.9510932,0.573,0.27654,78.064,1.692,0.559577176379434,0.329348608113343,0.111074215507222,0.305727805806071,0.481126055074593,0.372265234614875,0.146620751104743,0.271740749046226,9343832343.55503,3221.56679890878,2900400,-0.00164877340208386,0.49371,0.13376,-0.00727589298027858
"AL00","Albania","Albania",2013,0.0115881494161251,1022200,27783.08,259.033224,0.524,0.30978,78.123,1.73,0.562475671467497,0.308457988099872,0.129121948506923,0.298957899124635,0.488644077889597,0.361888882272375,0.149502769010897,0.266065695386285,9434512015.37119,3258.89879632856,2895000,-0.00186181216383947,0.44102,0.15866,-0.00709671848013817
"AL00","Albania","Albania",2014,0.0193740986223922,1030600,28478.79,325.3482889,0.537,0.31392,78.2,1.79,0.540204955809792,0.327929295667733,0.131919969636176,0.276805314514924,0.475467491121404,0.371268978358063,0.153286517176779,0.250935194042232,9597697163.17539,3322.03702300903,2889100,-0.00203799654576857,0.43775,0.18055,-0.00727250700910318
"AL00","Albania","Albania",2015,0.0259453024131647,1077100,27982.92,342.7794475,0.557,0.29816,77.9,1.67,0.518134160693271,0.333796940194715,0.148068899112015,0.277957114490776,0.473016295606066,0.373811663172374,0.153194227206674,0.255212748629282,9818083201.00708,3408.22827819873,2880700,-0.00290747983801184,0.45955,0.17193,-0.00708404207310723
"AL00","Albania","Albania",2016,0.0349430983250417,1142400,27555.21,345.9668026,0.575,0.27391,78.5,1.56,0.530131729073748,0.326677730525879,0.143138678560315,0.277893617021277,0.467489361702128,0.377159574468085,0.155393617021277,0.257488178385877,10144931764.9267,3527.32233403801,2876100,-0.00159683410282223,0.48477,0.15418,-0.00321650846632593
"AL00","Albania","Albania",2017,0.0388098211174816,1179900,28638.35,365.0167723,0.583,0.26228,78.5,1.48,0.521997621878716,0.323476192938014,0.154577883472057,0.281373490873436,0.450821539284335,0.3851677247472,0.164000831938516,0.269826675624354,10528981218.8739,3664.21708284573,2873460,-0.0009179096693439,0.50152,0.13616,-0.00514988898401231
"AL00","Albania","Albania",2018,0.0426147154959248,1229200,30447.87,396.4965906,0.594,0.26614,78.9,1.37,0.50115692048801,0.330458561211611,0.168384518300379,0.272825311942959,0.454001782531194,0.383520499108734,0.162477718360071,0.279536618365259,10950622562.0866,3820.36665134651,2866380,-0.00246392850431188,0.52,0.12304,-0.00521145137769591
