"NUTS","Name","Year","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3"
"AL00","Albania",2009,0.551,0.30734,77.781,1.647,0.592805519053876,0.309351730179588,0.0977879982479194
"AL00","Albania",2010,0.552,0.2972,77.936,1.656,0.578740369592156,0.320456871935779,0.0997252303216422
"AL00","Albania",2011,0.603,0.30011,78.092,1.671,0.561843027330063,0.336370007007708,0.101786965662228
"AL00","Albania",2012,0.573,0.27654,78.064,1.692,0.559577176379434,0.329348608113343,0.111074215507222
"AL00","Albania",2013,0.524,0.30978,78.123,1.73,0.562475671467497,0.308457988099872,0.129121948506923
"AL00","Albania",2014,0.537,0.31392,78.2,1.79,0.540204955809792,0.327929295667733,0.131919969636176
"AL00","Albania",2015,0.557,0.29816,77.9,1.67,0.518134160693271,0.333796940194715,0.148068899112015
"AL00","Albania",2016,0.575,0.27391,78.5,1.56,0.530131729073748,0.326677730525879,0.143138678560315
"AL00","Albania",2017,0.583,0.26228,78.5,1.48,0.521997621878716,0.323476192938014,0.154577883472057
"AL00","Albania",2018,0.594,0.26614,78.9,1.37,0.50115692048801,0.330458561211611,0.168384518300379
"AL00","Albania",2019,0.604,0.25824,79.1,1.36666666666667,0.492855287087555,0.330215640426085,0.176877110937906
"AT11","Burgenland",2009,0.651,0.081,80.9,1.27,0.196,0.653,0.151
"AT11","Burgenland",2010,0.648,0.078,80.9,1.28,0.197,0.655,0.148
"AT11","Burgenland",2011,0.641,0.076,81.2,1.28,0.197,0.655,0.148
"AT11","Burgenland",2012,0.647,0.08,80.6,1.3,0.188,0.672,0.139
"AT11","Burgenland",2013,0.639,0.087,81.1,1.27,0.185,0.656,0.158
"AT11","Burgenland",2014,0.64,0.089,81.4,1.33,0.168,0.575,0.257
"AT11","Burgenland",2015,0.641,0.081,81.2,1.37,0.153,0.562,0.285
"AT11","Burgenland",2016,0.645,0.106,81.4,1.41,0.165,0.557,0.279
"AT11","Burgenland",2017,0.652,0.08,81.5,1.36,0.148,0.572,0.28
"AT11","Burgenland",2018,0.647,0.099,81.5,1.38,0.151,0.565,0.284
"AT11","Burgenland",2019,0.642,NA,81.9,1.39,0.151,0.542,0.307
"AT12","Niederösterreich",2009,0.66,0.092,80.1,1.42,0.162,0.662,0.176
"AT12","Niederösterreich",2010,0.66,0.078,80.5,1.47,0.156,0.665,0.179
"AT12","Niederösterreich",2011,0.667,0.093,80.8,1.48,0.167,0.661,0.172
"AT12","Niederösterreich",2012,0.667,0.072,80.6,1.49,0.167,0.661,0.172
"AT12","Niederösterreich",2013,0.666,0.08,81,1.48,0.16,0.664,0.176
"AT12","Niederösterreich",2014,0.672,0.1,81.3,1.51,0.155,0.554,0.291
"AT12","Niederösterreich",2015,0.678,0.079,81,1.52,0.139,0.558,0.303
"AT12","Niederösterreich",2016,0.679,0.083,81.4,1.59,0.147,0.551,0.302
"AT12","Niederösterreich",2017,0.691,0.077,81.6,1.57,0.142,0.538,0.32
