"NUTS","Year","emp_rate","unemp_rate"
"AL00",2009,0.47473,0.13674
"AL00",2010,0.47426,0.14086
"AL00",2011,0.51857,0.13481
"AL00",2012,0.49371,0.13376
"AL00",2013,0.44102,0.15866
"AL00",2014,0.43775,0.18055
"AL00",2015,0.45955,0.17193
"AL00",2016,0.48477,0.15418
"AL00",2017,0.50152,0.13616
"AL00",2018,0.52,0.12304
"AL00",2019,0.53392,0.11466
"AT11",2009,0.555,0.05
"AT11",2010,0.557,0.04
"AT11",2011,0.551,0.038
"AT11",2012,0.551,0.046
"AT11",2013,0.546,0.043
"AT11",2014,0.543,0.048
"AT11",2015,0.538,0.052
"AT11",2016,0.536,0.057
"AT11",2017,0.544,0.052
"AT11",2018,0.546,0.042
"AT11",2019,0.545,0.036
"AT12",2009,0.572,0.047
"AT12",2010,0.576,0.039
"AT12",2011,0.578,0.045
"AT12",2012,0.577,0.046
"AT12",2013,0.573,0.05
"AT12",2014,0.576,0.051
"AT12",2015,0.577,0.052
"AT12",2016,0.576,0.052
"AT12",2017,0.586,0.048
"AT12",2018,0.583,0.038
"AT12",2019,0.582,0.04
"AT13",2009,0.537,0.087
"AT13",2010,0.54,0.083
"AT13",2011,0.541,0.08
"AT13",2012,0.542,0.089
"AT13",2013,0.543,0.092
"AT13",2014,0.531,0.102
"AT13",2015,0.533,0.106
"AT13",2016,0.536,0.113
"AT13",2017,0.539,0.104
"AT13",2018,0.55,0.1
"AT13",2019,0.553,0.093
"AT21",2009,0.543,0.046
"AT21",2010,0.544,0.043
"AT21",2011,0.545,0.043
"AT21",2012,0.547,0.05
"AT21",2013,0.545,0.055
"AT21",2014,0.543,0.06
"AT21",2015,0.538,0.061
"AT21",2016,0.544,0.054
"AT21",2017,0.545,0.048
"AT21",2018,0.555,0.041
"AT21",2019,0.556,0.038
"AT22",2009,0.561,0.05
"AT22",2010,0.565,0.045
"AT22",2011,0.572,0.036
"AT22",2012,0.567,0.04
"AT22",2013,0.567,0.047
"AT22",2014,0.563,0.049
"AT22",2015,0.562,0.047
"AT22",2016,0.564,0.051
"AT22",2017,0.569,0.045
"AT22",2018,0.575,0.04
"AT22",2019,0.583,0.032
"AT31",2009,0.604,0.042
"AT31",2010,0.606,0.039
"AT31",2011,0.608,0.034
"AT31",2012,0.611,0.033
"AT31",2013,0.607,0.043
"AT31",2014,0.61,0.04
"AT31",2015,0.606,0.041
"AT31",2016,0.612,0.044
"AT31",2017,0.609,0.04
"AT31",2018,0.613,0.032
"AT31",2019,0.616,0.029
"AT32",2009,0.607,0.036
"AT32",2010,0.607,0.032
"AT32",2011,0.615,0.029
"AT32",2012,0.616,0.029
"AT32",2013,0.616,0.032
"AT32",2014,0.599,0.035
"AT32",2015,0.601,0.035
"AT32",2016,0.606,0.034
"AT32",2017,0.609,0.031
"AT32",2018,0.618,0.028
"AT32",2019,0.62,0.024
"AT33",2009,0.608,0.033
"AT33",2010,0.606,0.032
"AT33",2011,0.606,0.027
"AT33",2012,0.612,0.028
"AT33",2013,0.617,0.031
"AT33",2014,0.608,0.032
"AT33",2015,0.608,0.03
"AT33",2016,0.607,0.035
"AT33",2017,0.61,0.033
"AT33",2018,0.617,0.024
"AT33",2019,0.618,0.021
"AT34",2009,0.601,0.056
"AT34",2010,0.601,0.046
"AT34",2011,0.607,0.041
"AT34",2012,0.612,0.04
"AT34",2013,0.608,0.036
"AT34",2014,0.615,0.034
"AT34",2015,0.616,0.035
"AT34",2016,0.629,0.034
"AT34",2017,0.624,0.037
"AT34",2018,0.626,0.033
"AT34",2019,0.626,0.032
"BA00",2009,0.32784,0.24068
"BA00",2010,0.32102,0.27312
"BA00",2011,0.31615,0.27582
"BA00",2012,0.31526,0.2801
"BA00",2013,0.31419,0.2749
"BA00",2014,0.31476,0.27517
"BA00",2015,0.31735,0.27695
"BA00",2016,0.32115,0.25408
"BA00",2017,0.33608,0.20527
"BA00",2018,0.34195,0.184
"BA00",2019,0.35242,0.15692
"BE10",2009,0.46,0.157
"BE10",2010,0.459,0.173
"BE10",2011,0.453,0.169
"BE10",2012,0.455,0.174
"BE10",2013,0.443,0.192
"BE10",2014,0.458,0.183
"BE10",2015,0.459,0.173
"BE10",2016,0.467,0.168
"BE10",2017,0.481,0.148
"BE10",2018,0.486,0.132
"BE10",2019,0.488,0.126
"BE21",2009,0.506,0.057
"BE21",2010,0.513,0.06
"BE21",2011,0.505,0.057
"BE21",2012,0.505,0.053
"BE21",2013,0.504,0.062
"BE21",2014,0.503,0.061
"BE21",2015,0.506,0.061
"BE21",2016,0.498,0.061
"BE21",2017,0.514,0.059
"BE21",2018,0.532,0.043
"BE21",2019,0.541,0.036
"BE22",2009,0.518,0.054
"BE22",2010,0.521,0.053
"BE22",2011,0.523,0.046
"BE22",2012,0.513,0.047
"BE22",2013,0.51,0.055
"BE22",2014,0.506,0.056
"BE22",2015,0.501,0.06
"BE22",2016,0.506,0.048
"BE22",2017,0.524,0.041
"BE22",2018,0.526,0.038
"BE22",2019,0.53,0.036
"BE23",2009,0.536,0.042
"BE23",2010,0.535,0.052
"BE23",2011,0.531,0.038
"BE23",2012,0.53,0.041
"BE23",2013,0.536,0.04
"BE23",2014,0.534,0.043
"BE23",2015,0.528,0.044
"BE23",2016,0.531,0.042
"BE23",2017,0.536,0.034
"BE23",2018,0.552,0.027
"BE23",2019,0.557,0.029
"BE24",2009,0.534,0.049
"BE24",2010,0.534,0.048
"BE24",2011,0.538,0.035
"BE24",2012,0.532,0.044
"BE24",2013,0.529,0.055
"BE24",2014,0.53,0.05
"BE24",2015,0.528,0.051
