NUTS,Name,Unit,NACE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL01,Veri,Million EUR,A,276.5,297.3,303.1,323.1,354,364.1,374.6,399.6,442,434,490.3,491.8,556.4,576.5,600.8,597.5,622.7,621.2,670.2,699.8
AL01,Veri,Million EUR,B-E,85.4,94.6,88.6,114.2,146,177.2,192.8,205.9,230.9,245.8,298.5,251.3,252.5,279,286.8,349.4,380.2,395.9,465.2,481.2
AL01,Veri,Million EUR,F,79.6,114.4,139.2,144.6,168.1,184.4,205.6,231.1,258.2,240.4,243.4,293.3,270.3,250.3,195.7,213.8,231.2,238.6,228.2,232.5
AL01,Veri,Million EUR,G-I,184.7,205.9,201.8,193.9,227,256.8,276.3,311.7,345.8,347.2,341,349.7,368,329.1,335.2,361,392.4,408.6,457.1,516.1
AL01,Veri,Million EUR,J,15.7,26.4,30.6,33.6,45.3,52.4,58,70.4,78.1,73,64.5,31.6,29.1,27.4,38.8,45.3,40.6,42.3,42.4,47.6
AL01,Veri,Million EUR,K,6.2,8,8.2,9.9,12.4,18.4,20.5,26,35,29.1,29.8,33,38.4,35.4,41,45.6,42.5,67.3,71.8,75.9
AL01,Veri,Million EUR,L,65.3,76.8,80.1,82.5,96.7,109.3,120.2,130.7,144,136.7,133.4,134.8,141.3,150.9,150.2,150.4,153.7,159.5,168.4,188.3
AL01,Veri,Million EUR,M-N,8.9,11.4,15,15.1,18.2,21,30.5,37.4,42.6,39.8,46.3,56,66.6,63.4,71.3,82,79,94.1,113.3,127.7
AL01,Veri,Million EUR,O-Q,72.3,92,100.7,108.4,127.3,144.8,156.8,171.5,197.8,213.8,222.5,230.5,237.7,243.7,243.8,243.4,254.3,290.6,317.4,349.9
AL01,Veri,Million EUR,R-U,6.3,8.8,7.3,7.7,12.1,16.9,18.4,24.7,28.6,32.8,64.4,53.9,30.2,30.5,35.6,36,38.7,46.4,50.5,47.6
AL02,Qender,Million EUR,A,179.1,192.6,196.4,209.4,229.4,235.9,242.7,258.9,286.4,281.3,328.9,357.8,386.3,408,413.3,420.3,434.3,442.2,480.4,511.1
AL02,Qender,Million EUR,B-E,113.7,125.8,117.6,151.7,193.6,234.9,255.7,273,306.2,322.8,442.8,424.1,401.1,437.6,451.5,522.9,540.8,566.3,695.7,711.9
AL02,Qender,Million EUR,F,258.3,371.4,452.5,469.6,545.9,599.1,668.4,751.7,839.9,781.5,686.4,602.4,543.8,488.9,468.9,509.4,500.6,593.3,681.9,682.2
AL02,Qender,Million EUR,G-I,489,521.2,498.3,482.6,555.5,620.4,658.1,731.1,809.7,800.7,877.3,817.6,802.2,799.1,848.7,869.2,899.5,1058.7,1187.5,1299.8
AL02,Qender,Million EUR,J,58.4,93.7,105.7,116.5,154.8,176,192,229.6,253.9,239.4,184.9,245.4,238,209,193.3,206.8,243.4,259.8,278.8,311.8
AL02,Qender,Million EUR,K,38,46.5,44.9,55.5,67.7,96.8,103.4,126.1,165,137.2,146,161.7,139.8,129.5,150.2,166.8,155.8,137.1,140.4,145.5
AL02,Qender,Million EUR,L,177.8,200.4,203.5,210.1,242.6,265.8,283.4,298.8,322.5,310.7,298.8,298.9,306,322.8,325.7,326,332.8,346,370.9,409.2
AL02,Qender,Million EUR,M-N,42.5,52.4,67,67.7,80.5,89.2,126.9,150.7,168.3,182,174.3,158.6,250.3,295.5,371.1,432.9,480.2,570.6,645.6,712.5
AL02,Qender,Million EUR,O-Q,160.9,197.4,215.1,235,268.3,296.7,317.1,336.7,387.2,416.1,426,459.9,535.4,550.7,584.5,631,644.6,740,809.8,917
AL02,Qender,Million EUR,R-U,26.8,35.4,30.2,32.2,49.1,67.1,71.6,93.6,108.4,122.3,95,122.2,118.1,126.6,151.1,163,197.2,212.6,243.2,233.9
AL03,Jug,Million EUR,A,471.2,506.4,516.4,550.7,603.2,620.3,638.4,681.2,753.3,739.6,796.3,839.8,856.2,898.7,978.6,1012.5,1071,1135.3,1213.6,1318.4
AL03,Jug,Million EUR,B-E,105.6,116.9,109.4,141,180.3,218.7,238,254.1,285,250.4,339.3,415.5,451.6,513,547.4,447.3,391,334.8,416.4,464.6
AL03,Jug,Million EUR,F,90.6,130.2,158.5,164.5,191.2,209.8,234.1,263.2,294.1,273.9,233.2,282.8,277.6,250.9,193.9,191,222.6,224.3,242.3,263.7
AL03,Jug,Million EUR,G-I,155,174.7,171.1,161.6,190.7,219.5,238.6,270.5,301.1,297.8,265.5,376.6,442.8,395.5,396.6,373.3,414.8,397.6,461.5,503
AL03,Jug,Million EUR,J,19.6,32.9,38,40.8,55.4,64.8,72.2,87.8,97.6,90.6,76.2,36.3,33,33.2,46.6,53.1,46.1,55.1,46.4,51
AL03,Jug,Million EUR,K,8.3,10.9,11,13.3,16.8,25,28.2,35.7,47.6,39.6,39.6,43.8,52.9,51.7,59.9,66.6,62.2,84.4,79.7,77.3
AL03,Jug,Million EUR,L,56.3,67.8,72.2,72.9,86.6,98.7,110.9,121.3,132.7,125.6,122.4,124.8,127.3,138.3,136.5,136.3,138.3,144.8,165.1,172.7
AL03,Jug,Million EUR,M-N,4.8,6.9,9.3,9,11.1,13.2,20.3,25.3,28.9,29.6,29.9,56,56,57.8,65.2,54.5,64,63.1,74.2,90
AL03,Jug,Million EUR,O-Q,73.4,95.3,104.2,111.3,132.7,153.7,167.5,185.2,214,231.9,257.9,263.5,267.4,274.7,275.5,261.2,277.5,317.8,347.5,340.1
AL03,Jug,Million EUR,R-U,4.7,6.8,5.8,6,9.9,14.3,15.7,21.6,25,29.5,65.4,47,28.9,29.1,43.2,46.4,48.4,48.5,54.6,41.1
AL00,Albania,Million EUR,A,926.8,996.3,1015.9,1083.2,1186.6,1220.3,1255.7,1339.7,1481.7,1454.9,1615.5,1689.4,1798.9,1883.2,1992.7,2030.3,2128,2198.7,2364.2,2529.3
AL00,Albania,Million EUR,B-E,304.7,337.3,315.6,406.9,519.9,630.8,686.5,733,822.1,819,1080.6,1090.9,1105.2,1229.6,1285.7,1319.6,1312,1297,1577.3,1657.7
AL00,Albania,Million EUR,F,428.5,616,750.2,778.7,905.2,993.3,1108.1,1246,1392.2,1295.8,1163,1178.5,1091.7,990.1,858.5,914.2,954.4,1056.2,1152.4,1178.4
AL00,Albania,Million EUR,G-I,828.7,901.8,871.2,838.1,973.2,1096.7,1173,1313.3,1456.6,1445.7,1483.8,1543.9,1613,1523.7,1580.5,1603.5,1706.7,1864.9,2106.1,2318.9
AL00,Albania,Million EUR,J,93.7,153,174.3,190.9,255.5,293.2,322.2,387.8,429.6,403,325.6,313.3,300.1,269.6,278.7,305.2,330.1,357.2,367.6,410.4
AL00,Albania,Million EUR,K,52.5,65.4,64.1,78.7,96.9,140.2,152.1,187.8,247.6,205.9,215.4,238.5,231.1,216.6,251.1,279,260.5,288.8,291.9,298.7
