NUTS,Name,Year,Less than basic,Basic,Intermediate,Advanced,Total
AL00,Albania,2019,49.2,899.3,635.5,340.4,1924.5
AL00,Albania,2018,55.2,897.8,628.4,320.2,1901.6
AL00,Albania,2017,52.1,957.6,625.7,299,1934.3
AL00,Albania,2016,53.6,968.6,629.9,276,1928.2
AL00,Albania,2015,54.9,913.7,624,276.8,1869.4
AL00,Albania,2014,64.2,932.1,604.8,243.3,1844.3
AL00,Albania,2013,73.1,938.4,554.7,232.2,1798.3
AL00,Albania,2012,67.6,943.5,595.1,200.7,1806.9
AL00,Albania,2011,57.8,904.3,576,174.3,1712.4
AL00,Albania,2010,79.7,994.5,594.8,185.1,1856.1
AL00,Albania,2009,79.3,1003.4,565,178.6,1826.4
BA00,Bosnia and Herzegovina,2019,355.2,381.6,1110.2,139,1986
BA00,Bosnia and Herzegovina,2018,383.5,377.5,1142,159.8,2062.8
BA00,Bosnia and Herzegovina,2017,376.2,422.1,1137.1,149.9,2085.3
BA00,Bosnia and Herzegovina,2016,399.3,410.8,1135.3,178.1,2123.5
BA00,Bosnia and Herzegovina,2015,440.6,426.4,1160.1,165.7,2192.8
BA00,Bosnia and Herzegovina,2014,477.2,403.4,1129.6,170.7,2180.8
BA00,Bosnia and Herzegovina,2013,516.4,378.6,1131.9,164.2,2191
BA00,Bosnia and Herzegovina,2012,535.9,377.1,1110.5,145.2,2168.7
BA00,Bosnia and Herzegovina,2011,556.6,381.3,1103.5,133.9,2175.4
BA00,Bosnia and Herzegovina,2010,587.1,354.3,1122.7,125.5,2189.6
BA00,Bosnia and Herzegovina,2009,652.7,363.8,1065.2,102.6,2184.3
XK00,Kosovo,2019,70.4,412.3,431.3,139,1053.2
XK00,Kosovo,2018,58.2,443.2,432,130.1,1063.9
XK00,Kosovo,2017,71.7,425.3,397.1,148.1,1042.8
XK00,Kosovo,2016,68.9,409.1,393.1,133.7,1005.6
XK00,Kosovo,2015,62.1,401.1,392,130.8,986.3
XK00,Kosovo,2014,69.7,416.4,379,128.1,993.7
XK00,Kosovo,2013,75.3,413.3,367.9,121.8,979.5
XK00,Kosovo,2012,93.6,424.2,356.6,118.5,994.4
XK00,Kosovo,2011,..,..,..,..,..
XK00,Kosovo,2010,..,..,..,..,..
XK00,Kosovo,2009,..,..,..,..,..
MD00,Moldova,2019,10.9,467.5,1024.2,376.9,1879.6
MD00,Moldova,2018,10.4,478.5,1049.1,362.5,1900.6
MD00,Moldova,2017,10.5,488.4,1056.9,363.4,1919.2
MD00,Moldova,2016,11.2,517.8,1042.8,364.6,1936.5
MD00,Moldova,2015,12.8,498.6,1057.9,362.4,1931.7
MD00,Moldova,2014,14.8,501.9,1050.2,358.4,1925.3
MD00,Moldova,2013,21.2,603.1,1327.9,459,2411.3
MD00,Moldova,2012,22.4,582.2,1323,448.2,2375.9
MD00,Moldova,2011,25.3,573.4,1324.8,418.4,2341.9
MD00,Moldova,2010,25.8,566.5,1329.2,392.6,2314.1
MD00,Moldova,2009,24.1,544.1,1349.6,372.5,2290.3
