Year	Region Code	Region Name	"Imports by economic activities (ISIC, Rev.4) (1000 USD) : General total"	"Exports by economic activities (ISIC, Rev.4) (1000 USD) : General total"
2013	TR10	Ýstanbul	146056467	81576600
2014	TR10	Ýstanbul	139891414	84831850
2015	TR10	Ýstanbul	121178389	79274723
2016	TR10	Ýstanbul	117092959	77766581
2017	TR10	Ýstanbul	135791869	83448092
2018	TR10	Ýstanbul	125175604	88203471
2019	TR10	Ýstanbul	109280926	88827640
2020	TR10	Ýstanbul	126858302	82815389
2021	TR10	Ýstanbul	138122531	108666008
2022	TR10	Ýstanbul	178524528	124661773
2013	TR21	"Tekirdað, Edirne, Kýrklareli"	3057877	2106747
2014	TR21	"Tekirdað, Edirne, Kýrklareli"	2199816	2203260
2015	TR21	"Tekirdað, Edirne, Kýrklareli"	1748630	2080060
2016	TR21	"Tekirdað, Edirne, Kýrklareli"	1811634	1717983
2017	TR21	"Tekirdað, Edirne, Kýrklareli"	1787431	1822698
2018	TR21	"Tekirdað, Edirne, Kýrklareli"	1923678	2141114
2019	TR21	"Tekirdað, Edirne, Kýrklareli"	1920177	2196398
2020	TR21	"Tekirdað, Edirne, Kýrklareli"	1912087	2214741
2021	TR21	"Tekirdað, Edirne, Kýrklareli"	2819437	3092417
2022	TR21	"Tekirdað, Edirne, Kýrklareli"	3484830	3487090
2013	TR22	"Balýkesir, Çanakkale"	707864	817093
2014	TR22	"Balýkesir, Çanakkale"	575865	683149
2015	TR22	"Balýkesir, Çanakkale"	515718	646033
2016	TR22	"Balýkesir, Çanakkale"	475351	628212
2017	TR22	"Balýkesir, Çanakkale"	489164	658677
2018	TR22	"Balýkesir, Çanakkale"	483306	751664
2019	TR22	"Balýkesir, Çanakkale"	480206	748927
2020	TR22	"Balýkesir, Çanakkale"	488416	748343
2021	TR22	"Balýkesir, Çanakkale"	622697	964377
2022	TR22	"Balýkesir, Çanakkale"	763328	1126976
2013	TR31	Ýzmir	11769194	10862890
2014	TR31	Ýzmir	11114600	11110894
2015	TR31	Ýzmir	9808915	9458963
2016	TR31	Ýzmir	9743666	9713438
2017	TR31	Ýzmir	10912751	10934381
2018	TR31	Ýzmir	10585579	12264536
2019	TR31	Ýzmir	8676072	12168872
2020	TR31	Ýzmir	8476251	11636389
2021	TR31	Ýzmir	10956663	14737269
2022	TR31	Ýzmir	13576367	17014901
2013	TR32	"Aydýn, Denizli, Muðla"	2777294	3668101
2014	TR32	"Aydýn, Denizli, Muðla"	2431781	3845479
2015	TR32	"Aydýn, Denizli, Muðla"	2166948	3489589
2016	TR32	"Aydýn, Denizli, Muðla"	1939817	3397926
2017	TR32	"Aydýn, Denizli, Muðla"	2418785	3883716
2018	TR32	"Aydýn, Denizli, Muðla"	2416122	4290057
2019	TR32	"Aydýn, Denizli, Muðla"	1946766	4198089
2020	TR32	"Aydýn, Denizli, Muðla"	1946436	4268541
2021	TR32	"Aydýn, Denizli, Muðla"	2694891	6043118
