"NUTS","Name","Year","Employment_abs","GDP_EUR","GDP_NCU","GFCF_EUR","GVA_EUR","GVA_NACE_A","GVA_NACE_B-E","GVA_NACE_F","GVA_NACE_G-I","GVA_NACE_J","GVA_NACE_K","GVA_NACE_L","GVA_NACE_M-N","GVA_NACE_O-Q","GVA_NACE_R-U","GVA_NACE_L-M-N","Migration_abs","Population_abs","Labor_Productivity_abs","Unemployment_abs","Wage_EUR","Wage_NCU","EMP_NACE_A","EMP_NACE_B-E","EMP_NACE_F","EMP_NACE_G-I","EMP_NACE_J","EMP_NACE_K","EMP_NACE_L","EMP_NACE_M-N","EMP_NACE_O-Q","EMP_NACE_R-U","EMP_NACE_L-M-N","GDP_growth"
"AL00","Albania","2009",1053600,8662300000,1143936500000,2830700000,7.495e+09,1454900000,8.19e+08,1295800000,1445700000,4.03e+08,205900000,5.73e+08,251400000,861800000,184600000,824400000,-34745,2927530,24317.26,NA,273.1712858,36075,511223,116288,115159,211144,NA,10311,16135,NA,148151,32131,16135,-0.0156812835926048
"AL00","Albania","2010",1060300,8996600000,1239644600000,2555500000,7819700000,1615500000,1080600000,1.163e+09,1483800000,325600000,215400000,554600000,250500000,906400000,224800000,805100000,-27465,2913030,25084.62,173300,252.3187459,34767,491362,124708,115660,223538,NA,9824,11927,NA,150478,39879,11927,0.0385925216166607
"AL00","Albania","2011",1188300,9268400000,1300624100000,2719900000,8060500000,1689400000,1090900000,1178500000,1543900000,313300000,238500000,558500000,270600000,953900000,223100000,829100000,-19894,2905190,23038.01,192900,259.972921,36482,526412,123184,95546,211210,NA,9699,14127,NA,141502,38797,14127,0.0302114132005424
"AL00","Albania","2012",1148100,9585900000,1.332811e+12,2539100000,8305100000,1798900000,1105200000,1091700000,1.613e+09,300100000,231100000,574600000,372900000,1040500000,177200000,947500000,-21103,2900400,24658.37,177100,269.9510932,37534,526373,103198,93102,224000,NA,6524,15590,NA,140328,31259,15590,0.0342561822968368
"AL00","Albania","2013",1022200,9625400000,1350052600000,2510200000,8396500000,1883200000,1229600000,990100000,1523700000,269600000,216600000,6.12e+08,416700000,1069100000,186200000,1028700000,-20545,2895000,27783.08,194000,259.033224,36332,452652,99006,73116,191436,NA,11029,20832,NA,145627,32033,20832,0.00412063551674836
"AL00","Albania","2014",1030600,9968600000,1395304600000,2408400000,8700700000,1992700000,1285700000,858500000,1580500000,278700000,251100000,612400000,507600000,1103800000,229900000,1.12e+09,-21011,2889100,28478.79,218300,325.3482889,45539,436252,116253,66937,169215,13468,10430,23980,33620,139847,51039,23980,0.0356556610634363
"AL00","Albania","2015",1077100,10264200000,1434306500000,2505700000,9014700000,2030300000,1319600000,914200000,1603500000,305200000,2.79e+08,612700000,569400000,1135600000,245400000,1182100000,-20407,2880700,27982.92,222500,342.7794475,47900,449407,126528,75237,198583,8240,10561,NA,30909,152672,34475,30909,0.0296531107678109
"AL00","Albania","2016",1142400,10719800000,1472479100000,2612200000,9.4e+09,2.128e+09,1.312e+09,954400000,1706700000,330100000,260500000,624800000,623200000,1176400000,284300000,1.248e+09,-9251,2876100,27555.21,204700,345.9668026,47522,465686,147896,75743,214848,14859,11651,NA,39712,150982,35800,39712,0.0443872878548742
"AL00","Albania","2017",1179900,11559100000,1550645500000,2.841e+09,10096900000,2198700000,1.297e+09,1056200000,1864900000,357200000,288800000,650300000,727800000,1348400000,307500000,1378100000,-14798,2873460,28638.35,187100,365.0167723,48967,456461,149122,82140,230814,10824,10984,NA,45526,168522,40576,45526,0.0782943711636411
"AL00","Albania","2018",1229200,1.2828e+10,1636731300000,3061100000,1.122e+10,2364200000,1577300000,1152400000,2106100000,367600000,291900000,704400000,833100000,1474700000,348300000,1537500000,-14938,2866380,30447.87,172800,396.4965906,50589,459778,156596,86155,243807,12541,10722,NA,48743,168548,43962,48743,0.109774982481335
"AL00","Albania","2019",1260700,13754200000,1691903400000,3068800000,12023500000,2529300000,1657700000,1178400000,2318900000,410400000,298700000,770200000,930200000,1.607e+09,322600000,1700400000,-22996,2854190,31824.84,164000,425.8190391,52380,460878,165713,89067,261915,13682,13035,NA,54368,166446,40478,54368,0.0722014343623324
"AT11","Burgenland","2009",108500,6441600000,NA,1.559e+09,5.74e+09,1.92e+08,1.114e+09,5.32e+08,1.251e+09,9.1e+07,2.68e+08,6.03e+08,2.87e+08,1.232e+09,1.7e+08,8.9e+08,1748,283210,59369.59,7000,2817.46,NA,9800,17100,9800,28900,1500,3300,1300,6300,26000,4500,7600,0.00492979719188768
"AT11","Burgenland","2010",109100,6698400000,NA,1.605e+09,5.968e+09,2.19e+08,1.195e+09,5.37e+08,1.309e+09,9.6e+07,2.5e+08,6.17e+08,2.98e+08,1.272e+09,1.75e+08,9.15e+08,1796,284140,61396.61,5700,2869.15166666667,NA,9300,17000,9900,29500,1500,3200,1300,6400,26300,4600,7700,0.0398658718330849
"AT11","Burgenland","2011",112500,7012600000,NA,1.716e+09,6.25e+09,2.48e+08,1.227e+09,5.6e+08,1.403e+09,1.13e+08,2.72e+08,6.37e+08,3.17e+08,1.29e+09,1.83e+08,9.54e+08,2091,285182,62334.04,5300,2894.2275,NA,9000,17600,10400,31000,1500,3100,1300,7000,26600,4900,8300,0.0469067239937896
"AT11","Burgenland","2012",113600,7365400000,NA,1.943e+09,6.554e+09,2.75e+08,1.275e+09,5.94e+08,1.489e+09,1.12e+08,2.57e+08,6.91e+08,3.45e+08,1.339e+09,1.78e+08,1.036e+09,2056,286237,64836.53,6500,2965.4575,NA,8300,17700,10600,31400,1400,3200,1300,7300,27300,5000,8600,0.0503094430025953
"AT11","Burgenland","2013",114500,7539300000,NA,1.838e+09,6.718e+09,2.16e+08,1.366e+09,6.19e+08,1.491e+09,1.09e+08,2.88e+08,7.11e+08,3.63e+08,1.372e+09,1.82e+08,1.074e+09,1834,287055,65845.59,6000,3041.325,NA,8200,17900,10700,31600,1400,3200,1300,7600,27200,5300,8900,0.0236103945474788
"AT11","Burgenland","2014",116400,7737100000,NA,1.894e+09,6.903e+09,2.11e+08,1.339e+09,6.45e+08,1.527e+09,1.27e+08,3.02e+08,7.58e+08,4.03e+08,1.398e+09,1.93e+08,1.161e+09,1948,287886,66470.19,6800,3110.94333333333,NA,8500,18000,10800,31900,1600,3100,1300,8300,27700,5300,9600,0.0262358574403459
"AT11","Burgenland","2015",117500,8040600000,NA,1.897e+09,7.171e+09,2.59e+08,1.376e+09,6.53e+08,1.536e+09,1.49e+08,3.11e+08,8.03e+08,4.1e+08,1.468e+09,2.06e+08,1.213e+09,3704,289684,68430.21,7400,3129.53833333333,NA,8200,17700,10800,32300,1600,3100,1400,8000,28600,5600,9400,0.0392265836036758
"AT11","Burgenland","2016",118500,8351800000,NA,1.894e+09,7.449e+09,2.21e+08,1.432e+09,7.12e+08,1.592e+09,1.53e+08,3.21e+08,8.47e+08,4.29e+08,1.527e+09,2.15e+08,1.276e+09,1841,291477,70479.07,8100,3200.16333333333,NA,7900,17300,11100,32800,1700,3000,1300,8400,29400,5500,9700,0.0387035793348754
"AT11","Burgenland","2017",120800,8717800000,NA,2.192e+09,7.775e+09,3.08e+08,1.467e+09,7.04e+08,1.668e+09,1.33e+08,3.42e+08,9.09e+08,4.4e+08,1.584e+09,2.21e+08,1.349e+09,1886,292310,72167.14,7500,3259.8975,NA,7800,17800,11400,33700,1600,3000,1400,8300,29800,5800,9700,0.0438228884791304
"AT11","Burgenland","2018",122100,8960800000,NA,2.225e+09,8.007e+09,2.95e+08,1.473e+09,7.54e+08,1.718e+09,1.51e+08,3.53e+08,9.41e+08,4.43e+08,1.651e+09,2.28e+08,1.384e+09,1845,293055,73388.62,5900,3376.53166666667,NA,7400,17600,11700,34400,1900,2900,1400,8400,30600,5700,9800,0.0278740049094955
"AT11","Burgenland","2019",123700,9222800000,NA,2.364e+09,8.242e+09,2.61e+08,1.522e+09,8.11e+08,1.752e+09,1.48e+08,3.61e+08,9.79e+08,4.62e+08,1.704e+09,2.42e+08,1.441e+09,2164,293936,74557.72,5200,3437.8875,NA,7300,17700,12100,34600,1900,3000,1400,8600,30900,6200,10000,0.0292384608517097
