"Country","NUTS","Name","Year","GDP_growth","Employment_abs","GDP_EUR","Migration_abs","Population_abs","Pop_growth","Labor_Productivity_abs","Wage_EUR","GDP_capita","Activity_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","NEET_share","Life_exp","Fertility_rate","Labor_force_abs","Employment_rate","Unemployment_rate","Prodx_A","Prodx_B-E","Prodx_F","Prodx_G-I","Prodx_J","Prodx_K","Prodx_L-M-N","Prodx_O-Q","Prodx_R-U","inv_rate","GFCF_share","GVA_A","GVA_B-E","GVA_F","GVA_G-I","GVA_J","GVA_K","GVA_L-M-N","GVA_O-Q","GVA_R-U"
"Albania","AL00","Albania",2009,0.040279956413407,1053600,9055900000,-34745,2927530,-0.00671457459658266,24317.26,273.1712858,3093.35856507021,0.551,NA,NA,NA,0.30734,77.781,1.647,NA,0.35989383541757,NA,2845.92046914947,7042.85910842047,11252.2686025408,6846.98594324253,NA,19968.9651828145,51093.8952587543,5817.03802201808,5745.23046279294,0.377678452301534,0.312580748462328,0.194116077384923,0.10927284856571,0.17288859239493,0.19288859239493,0.0537691794529686,0.0274716477651768,0.109993328885924,0.11498332221481,0.0246297531687792
"Albania","AL00","Albania",2010,0.0422430078024845,1060300,9391700000,-27465,2913030,-0.00495298084050377,25084.62,252.3187459,3224.03133507036,0.552,NA,NA,NA,0.2972,77.936,1.656,1233600,0.363985266200485,0.0594913200344658,3287.80003337661,8665.0415370305,10055.3346014179,6637.79760040798,NA,21925.8957654723,67502.3056929655,6023.47186964207,5637.05208254971,0.32680281852245,0.27210196237103,0.206593603335166,0.138189444607849,0.148726933258309,0.189751524994565,0.0416384260265739,0.0275458137780222,0.10295791398647,0.115912375155057,0.028747905929895
"Albania","AL00","Albania",2011,0.0280337957196189,1188300,9.629e+09,-19894,2905190,-0.00269135573612356,23038.01,259.972921,3314.41317091137,0.603,NA,NA,NA,0.30011,78.092,1.671,1381200,0.409026604111951,0.0663984111194104,3209.27334483256,8855.85790362385,12334.3729721809,7309.78646844373,NA,24590.1639344262,58689.0351808593,6741.24747353394,5750.44462200686,0.337435642950189,0.282469623013812,0.209589975807952,0.135338998821413,0.146206810991874,0.191538986415235,0.0388685565411575,0.0295887351901247,0.102859624092798,0.118342534582222,0.0276781837355003
"Albania","AL00","Albania",2012,0.0161525056495729,1148100,9768400000,-21103,2900400,-0.00164877340208386,24658.37,269.9510932,3367.94924837953,0.573,NA,NA,NA,0.27654,78.064,1.692,1325200,0.395841952834092,0.0610605433733278,3417.53851356358,10709.5098742224,11725.8490687633,7200.89285714286,NA,35423.0533415083,60776.1385503528,7414.77110769055,5668.76739499024,0.305727805806071,0.259929978297367,0.216601847057832,0.133074857617608,0.131449350399152,0.19421801061998,0.0361344234265692,0.0278262754211268,0.114086525147199,0.12528446376323,0.021336287341513
"Albania","AL00","Albania",2013,0.0115881494161252,1022200,9863200000,-20545,2895000,-0.00186181216383947,27783.08,259.033224,3406.97754749568,0.524,NA,NA,NA,0.30978,78.123,1.73,1216200,0.353091537132988,0.0670120898100173,4160.37043910112,12419.4493263035,13541.4957054543,7959.31799661506,NA,19639.1331943059,49380.7603686636,7341.35840194469,5812.75559579184,0.298957899124635,0.254501581636791,0.224283927827071,0.146441969868398,0.117918180194129,0.181468469004943,0.0321086166855237,0.0257964628118859,0.122515333770023,0.127326862383136,0.0221759066277616
"Albania","AL00","Albania",2014,0.0193740986223923,1030600,10033800000,-21011,2889100,-0.00203799654576857,28478.79,325.3482889,3472.98466650514,0.537,NA,NA,NA,0.31392,78.2,1.79,1248900,0.356720085839881,0.0755598629330933,4567.77275519654,11059.4995397968,12825.4926273959,9340.18851756641,20693.4956934957,24074.7842761266,46705.5879899917,7892.91153903909,4504.3985971512,0.276805314514924,0.240028702983914,0.229027549507511,0.147769719677727,0.098670221936166,0.181652050984404,0.0320319054788695,0.0288597469169147,0.128725274977875,0.126863355821945,0.0264231613548335
"Albania","AL00","Albania",2015,0.0259453024131648,1077100,10264200000,-20407,2880700,-0.00290747983801184,27982.92,342.7794475,3563.0923039539,0.557,NA,NA,NA,0.29816,77.9,1.67,1299600,0.37390217655431,0.0772381712778144,4517.73114348464,10429.3120890238,12150.9363743903,8074.70931550032,37038.8349514563,26417.9528453745,38244.5242486007,7438.16809893104,7118.20159535896,0.277957114490776,0.244120340601313,0.22522102787669,0.14638312977692,0.101412137952455,0.177876135645113,0.0338558132827493,0.0309494492329196,0.131130265011592,0.125972023472772,0.0272222037339013
"Albania","AL00","Albania",2016,0.0349430983250416,1142400,10605900000,-9251,2876100,-0.00159683410282223,27555.21,345.9668026,3687.59778867216,0.575,NA,NA,NA,0.27391,78.5,1.56,1347100,0.39720454782518,0.0711727686798095,4569.60269366053,8871.09860983394,12600.5043370344,7943.75558534406,22215.4922942325,22358.5958286842,31426.2691377921,7791.65728364971,7941.3407821229,0.277893617021277,0.246296872495498,0.226382978723404,0.139574468085106,0.101531914893617,0.181563829787234,0.0351170212765957,0.0277127659574468,0.132765957446808,0.125148936170213,0.0302446808510638
"Albania","AL00","Albania",2017,0.0388098211174815,1179900,11007400000,-14798,2873460,-0.0009179096693439,28638.35,365.0167723,3830.71279920375,0.583,NA,NA,NA,0.26228,78.5,1.48,1367000,0.410619949468585,0.065113138863948,4816.84086920898,8697.57648100213,12858.5342098856,8079.66587815297,33000.7390983001,26292.7895120175,30270.6145938585,8001.32920330877,7578.3714511041,0.281373490873436,0.258099096971129,0.217759906505957,0.128455268448732,0.104606364329646,0.18470025453357,0.0353771949806376,0.0286028384949836,0.136487436738009,0.133545939842922,0.0304548920955937
"Albania","AL00","Albania",2018,0.0426147154959248,1229200,11448200000,-14938,2866380,-0.00246392850431188,30447.87,396.4965906,3993.95753528841,0.594,NA,NA,NA,0.26614,78.9,1.37,1402000,0.428833581032522,0.0602850982772696,5142.04681389714,10072.4156428006,13375.8922871569,8638.39020208608,29311.8571086835,27224.3984331281,31542.9907884209,8749.43636234188,7922.7514671762,0.272825311942959,0.267387012805507,0.210713012477718,0.140579322638146,0.10270944741533,0.18770944741533,0.0327629233511586,0.0260160427807487,0.137032085561497,0.131434937611408,0.0310427807486631
