"NUTS","Name","Year","Activity_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","NEET_share","Life_exp","Fertility_rate"
"AL00","Albania","2009",0.551,NA,NA,NA,0.30734,77.781,1.647
"AL00","Albania","2010",0.552,NA,NA,NA,0.2972,77.936,1.656
"AL00","Albania","2011",0.603,NA,NA,NA,0.30011,78.092,1.671
"AL00","Albania","2012",0.573,NA,NA,NA,0.27654,78.064,1.692
"AL00","Albania","2013",0.524,NA,NA,NA,0.30978,78.123,1.73
"AL00","Albania","2014",0.537,NA,NA,NA,0.31392,78.2,1.79
"AL00","Albania","2015",0.557,NA,NA,NA,0.29816,77.9,1.67
"AL00","Albania","2016",0.575,NA,NA,NA,0.27391,78.5,1.56
"AL00","Albania","2017",0.583,NA,NA,NA,0.26228,78.5,1.48
"AL00","Albania","2018",0.594,NA,NA,NA,0.26614,78.9,1.37
"AL00","Albania","2019",0.604,NA,NA,NA,0.25824,79.1,1.36666666666667
"AT11","Burgenland","2009",0.651,0.196,0.653,0.151,0.081,80.9,1.27
"AT11","Burgenland","2010",0.648,0.197,0.655,0.148,0.078,80.9,1.28
"AT11","Burgenland","2011",0.641,0.197,0.655,0.148,0.076,81.2,1.28
"AT11","Burgenland","2012",0.647,0.188,0.672,0.139,0.08,80.6,1.3
"AT11","Burgenland","2013",0.639,0.185,0.656,0.158,0.087,81.1,1.27
"AT11","Burgenland","2014",0.64,0.168,0.575,0.257,0.089,81.4,1.33
"AT11","Burgenland","2015",0.641,0.153,0.562,0.285,0.081,81.2,1.37
"AT11","Burgenland","2016",0.645,0.165,0.557,0.279,0.106,81.4,1.41
"AT11","Burgenland","2017",0.652,0.148,0.572,0.28,0.08,81.5,1.36
"AT11","Burgenland","2018",0.647,0.151,0.565,0.284,0.099,81.5,1.38
"AT11","Burgenland","2019",0.642,0.151,0.542,0.307,NA,81.9,1.39
"AT12","Niederösterreich","2009",0.66,0.162,0.662,0.176,0.092,80.1,1.42
"AT12","Niederösterreich","2010",0.66,0.156,0.665,0.179,0.078,80.5,1.47
"AT12","Niederösterreich","2011",0.667,0.167,0.661,0.172,0.093,80.8,1.48
"AT12","Niederösterreich","2012",0.667,0.167,0.661,0.172,0.072,80.6,1.49
"AT12","Niederösterreich","2013",0.666,0.16,0.664,0.176,0.08,81,1.48
"AT12","Niederösterreich","2014",0.672,0.155,0.554,0.291,0.1,81.3,1.51
"AT12","Niederösterreich","2015",0.678,0.139,0.558,0.303,0.079,81,1.52
"AT12","Niederösterreich","2016",0.679,0.147,0.551,0.302,0.083,81.4,1.59
"AT12","Niederösterreich","2017",0.691,0.142,0.538,0.32,0.077,81.6,1.57
"AT12","Niederösterreich","2018",0.683,0.135,0.546,0.319,0.069,81.5,1.52
"AT12","Niederösterreich","2019",0.684,0.131,0.545,0.324,0.083,81.7,1.5
"AT13","Wien","2009",0.638,0.194,0.546,0.26,0.134,79.4,1.37
"AT13","Wien","2010",0.639,0.179,0.548,0.273,0.124,79.6,1.42
"AT13","Wien","2011",0.637,0.183,0.55,0.266,0.116,80.1,1.42
"AT13","Wien","2012",0.643,0.179,0.545,0.275,0.118,80.1,1.4
"AT13","Wien","2013",0.645,0.178,0.516,0.306,0.12,80.1,1.4
"AT13","Wien","2014",0.638,0.172,0.437,0.391,0.129,80.5,1.41
"AT13","Wien","2015",0.645,0.171,0.436,0.393,0.128,80.4,1.42
"AT13","Wien","2016",0.657,0.169,0.432,0.399,0.134,80.9,1.45
"AT13","Wien","2017",0.655,0.162,0.417,0.421,0.118,80.8,1.41
"AT13","Wien","2018",0.668,0.166,0.411,0.423,0.124,80.6,1.36
"AT13","Wien","2019",0.667,0.169,0.402,0.429,0.115,81.1,1.35
"AT21","Kärnten","2009",0.631,0.128,0.7,0.172,0.098,80.8,1.37
"AT21","Kärnten","2010",0.63,0.129,0.705,0.166,0.082,81,1.43
"AT21","Kärnten","2011",0.63,0.122,0.714,0.163,0.082,81.4,1.4
"AT21","Kärnten","2012",0.638,0.12,0.708,0.172,0.099,81.2,1.41
"AT21","Kärnten","2013",0.64,0.132,0.695,0.173,0.098,81.7,1.41
"AT21","Kärnten","2014",0.64,0.116,0.596,0.288,0.094,81.8,1.43
"AT21","Kärnten","2015",0.641,0.117,0.6,0.283,0.099,81.4,1.43
"AT21","Kärnten","2016",0.646,0.106,0.6,0.294,0.091,81.8,1.5
"AT21","Kärnten","2017",0.647,0.116,0.586,0.297,0.087,81.9,1.51
"AT21","Kärnten","2018",0.654,0.111,0.583,0.306,0.08,81.6,1.44
"AT21","Kärnten","2019",0.655,0.111,0.581,0.308,0.09,82.2,1.4
"AT22","Steiermark","2009",0.652,0.167,0.667,0.166,0.086,80.6,1.32
"AT22","Steiermark","2010",0.653,0.164,0.68,0.155,0.091,81,1.36
"AT22","Steiermark","2011",0.655,0.15,0.682,0.168,0.063,81.4,1.33
