"NUTS","Name","Year","Empl_edu_3","Unempl_edu_3","Empl_edu_2","Unempl_edu_2","Empl_edu_1","Unempl_edu_1","Employment_abs","EMP_NACE_A","EMP_NACE_B-E","EMP_NACE_F","EMP_NACE_G-I","EMP_NACE_J","EMP_NACE_K","EMP_NACE_L","EMP_NACE_M-N","EMP_NACE_L-M-N","EMP_NACE_O-Q","EMP_NACE_R-U","GVA_NACE_A","GVA_NACE_B-E","GVA_NACE_F","GVA_NACE_G-I","GVA_NACE_J","GVA_NACE_K","GVA_NACE_L","GVA_NACE_M-N","GVA_NACE_O-Q","GVA_NACE_R-U","GVA_NCU","GVA_NACE_L-M-N","GDP_NCU","GDP_EUR","GDP_growth","Activity_rate","Population_abs","Wage_NCU","Wage_EUR","Unemployment_abs","NEET_share","A__Unempl_edu_3_share","A__Unempl_edu_1_share","A__Unempl_edu_2_share","Migration_abs","A__LF_edu_2_share","A__LF_edu_1_share","A__LF_edu_3_share","GFCF_share","GFCF_NCU","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3"
"BA00","Bosnia and Herzegovina","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1754892000,4360393000,1320364000,4497061000,1161901000,917247000,1303022000,821261000,4603517000,493921000,21233580000,2124283000,24798500000,12679271715.8,-0.0282452888624152,0.436,3843000,1203.6,615.3909082,272339,0.26628,0.09862,0.31119,0.25048,-68227,0.5914,0.2985,0.81256,0.236484988031786,5864477800,76.976,1.299,NA,NA,NA
"BA00","Bosnia and Herzegovina","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1723995000,4580206000,1115243000,4680486000,1177524000,939520000,1319586000,855155000,4597601000,509875000,21499189000,2174741000,2.5365e+10,12968918566.5,0.0228441236367751,0.446,3843126,1216.6,622.0377027,315110,0.28728,0.15456,0.31001,0.28641,-67267,0.59298,0.29282,0.79745,0.19708762239122,4999118200,77.073,1.276,0.419862022399902,0.218880004882813,0.0922542953491211
"BA00","Bosnia and Herzegovina","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1772642000,4745197000,1076375000,4823501000,1229375000,995986000,1322667000,900275000,4842192000,526913000,22235121000,2222942000,26231300000,13411850723.2,0.0341533609320469,0.44,3839737,1270.6,649.6474642,310947,0.28304,0.14643,0.30925,0.29118,-64918,0.58418,0.27497,0.83707,0.22199889582133,5823311200,77.007,1.216,0.416073570251464,0.228944988250733,0.0984786033630371
"BA00","Bosnia and Herzegovina","2012",NA,NA,NA,NA,NA,NA,813683,167278,174697,72338,171529,12955,14464,915,23497,24412,146360,29652,1609464000,4625863000,1044326000,4951342000,1243753000,988688000,1353117000,932541000,4873679000,547751000,22170523000,2285658000,26222700000,13407453613,-0.000327852605188386,0.44,3836377,1290.2,659.6687851,316593,0.28923,0.19096,0.27752,0.29744,-66436,0.58573,0.27825,0.79758,0.224364115870283,5883435100,77.191,1.29,NA,NA,NA
"BA00","Bosnia and Herzegovina","2013",NA,NA,NA,NA,NA,NA,821600,154983,182069,62914,175346,16140,15208,510,23658,24168,162793,27979,1832039000,4932167000,1045836000,5038275000,1272379000,995239000,1396931000,889522000,4883032000,562799000,22848219000,2286453000,26778800000,13691783028.2,0.0212068169994868,0.436,3531159,1291.3,660.2312062,311491,0.26634,0.16921,0.29445,0.29244,-37030,0.56774,0.27219,0.81242,0.212335805467275,5686088300,76.33,1.276,NA,NA,NA
"BA00","Bosnia and Herzegovina","2014",NA,NA,NA,NA,NA,NA,812031,138688,179097,64538,190521,15118,13054,673,25155,25828,156827,28361,1628133000,4941380000,1120316000,5221013000,1293746000,1030849000,1411190000,929235000,5035035000,614156000,23225052000,2340425000,27358700000,13988281190.1,0.0216551899259085,0.437,3526000,1289.5,659.3108808,308277,0.27097,0.2106,0.305,0.28066,-35709,0.57687,0.25339,0.81385,0.225258642223175,6162785800,75.659,1.262,0.184714889526367,0.482730503082276,0.113008403778076
"BA00","Bosnia and Herzegovina","2015",NA,NA,NA,NA,NA,NA,821512,146851,180958,61217,187489,12128,13011,750,25253,26003,159528,34328,1746604000,5165667000,1119566000,5338983000,1294692000,1048466000,1435717000,1015154000,5113281000,644036000,23922168000,2450871000,28928900000,14791111701.9,0.0573930778835209,0.441,3518000,1289.1,659.1063641,314656,0.28348,0.20455,0.28928,0.29199,-33976,0.57265,0.25375,0.78958,0.216895898494442,6274568000,76.182,1.289,0.190438804626465,0.503122205734253,0.105173501968384
"BA00","Bosnia and Herzegovina","2016",NA,NA,NA,NA,NA,NA,801084,143853,181584,68964,174860,15884,13805,901,27620,28521,139027,34586,1866022000,5593437000,1169104000,5609635000,1289966000,1101501000,1472409000,1095220000,5101530000,725853000,25024677000,2567629000,30265100000,15474299913.6,0.0461891050158347,0.431,3511000,1300.7,665.0373499,272872,0.2709,0.21364,0.26292,0.26179,-32195,0.55196,0.24344,0.78922,0.227149682778236,6874709000,76.808,1.324,0.213718490600586,0.512913980484008,0.110858602523804
"BA00","Bosnia and Herzegovina","2017",NA,NA,NA,NA,NA,NA,815659,153924,181195,59472,185929,13522,10373,706,29097,29803,143887,37557,1727222000,6093756000,1259376000,6121903000,1314521000,1200621000,1604182000,1118614000,5156763000,8e+08,26396959000,2722796000,31802700000,16260462310.1,0.0508043918554959,0.426,3504000,1321.3,675.5699626,210678,0.25506,0.16706,0.19716,0.21693,-30669,0.5458,0.23872,0.77476,0.246345950144464,7834473000,76.935,1.355,0.202425727844238,0.545307312011719,0.0718639755249023
"BA00","Bosnia and Herzegovina","2018",NA,NA,NA,NA,NA,NA,822446,129329,193075,71213,190368,13590,9659,1576,26917,28493,145726,40993,1941056000,6707221000,1340834000,6507757000,1363311000,1255636000,1667237000,1211363000,5392416000,839259000,28226091000,2878600000,33941800000,17354166773.2,0.0672615847103347,0.421,3496000,1362.6,696.6863173,185456,0.22605,0.15369,0.20133,0.18902,-29154,0.54182,0.21145,0.76564,0.2441012062718,8285227000,77.093,1.384,0.241002426147461,0.526714286804199,0.108351097106934
